strategy,symbol,param_idx,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
WeekendGapFade,BTCUSDC,3,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 2.0}",9286.31,-7.1369,-0.061,14,42.86,0.5985,16.11,-0.5288,117.1
WeekendGapFade,BNBUSDC,3,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 2.0}",9279.66,-7.2034,-0.0615,15,33.33,0.6466,13.98,-0.4373,117.1
VolBreakoutMom,XRPUSDC,2,"{'lookback': 10, 'k_threshold': 2.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.5}",9257.25,-7.4275,-0.0634,57,35.09,0.9478,37.46,-0.0433,117.1
BTCResidualMR,XRPUSDC,1,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.6}",9246.64,-7.5336,-0.0644,66,53.03,0.9433,30.78,-0.0829,117.1
WeekendGapFade,ADAUSDC,3,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 2.0}",9227.64,-7.7236,-0.066,16,43.75,0.7127,16.01,-0.3525,117.1
WeekendGapFade,NEARUSDC,1,"{'gap_atr_mult': 1.5, 'sl_atr_mult': 1.5}",9166.76,-8.3324,-0.0712,19,42.11,0.7763,18.06,-0.357,117.1
WeekendGapFade,ADAUSDC,0,"{'gap_atr_mult': 1.0, 'sl_atr_mult': 1.0}",9164.47,-8.3553,-0.0714,36,36.11,0.7935,14.62,-0.3636,117.1
MeanRevLowVol,SOLUSDC,2,"{'ma_period': 30, 'z_entry': 2.0, 'vol_max_pctile': 40}",9158.91,-8.4109,-0.0718,39,53.85,0.9008,32.49,-0.1497,117.1
WeekendGapFade,ETHUSDC,3,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 2.0}",9156.98,-8.4302,-0.072,11,36.36,0.5783,14.62,-0.508,117.1
TSMOM,NEARUSDC,3,"{'lookback': 12, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",9111.03,-8.8897,-0.0759,115,40.0,0.9712,35.15,0.0526,117.1
WeekendGapFade,BTCUSDC,2,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 1.5}",9110.44,-8.8956,-0.076,14,28.57,0.5252,15.71,-0.6828,117.1
WeekendGapFade,XRPUSDC,2,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 1.5}",9107.11,-8.9289,-0.0763,8,37.5,0.5357,16.82,-0.5024,117.1
WeekendGapFade,AVAXUSDC,3,"{'gap_atr_mult': 2.0, 'sl_atr_mult': 2.0}",9077.05,-9.2295,-0.0788,15,33.33,0.6987,22.01,-0.3295,117.1
MeanRevLowVol,XRPUSDC,2,"{'ma_period': 30, 'z_entry': 2.0, 'vol_max_pctile': 40}",9077.79,-9.2221,-0.0788,45,55.56,0.8695,34.11,-0.1751,117.1
WeekendGapFade,BNBUSDC,1,"{'gap_atr_mult': 1.5, 'sl_atr_mult': 1.5}",9050.16,-9.4984,-0.0811,23,34.78,0.619,17.66,-0.6301,117.1
MeanRevLowVol,BTCUSDC,3,"{'ma_period': 30, 'z_entry': 2.5, 'vol_max_pctile': 50}",8990.42,-10.0958,-0.0862,28,46.43,0.7246,17.18,-0.5806,117.1
