strategy,symbol,param_idx,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
TSMOM,DOGEUSDC,3,"{'lookback': 12, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",7094.99,-29.0501,-0.2481,40,27.5,0.6486,36.63,-0.6152,117.1
MeanRevLowVol,BNBUSDC,2,"{'ma_period': 30, 'z_entry': 2.0, 'vol_max_pctile': 40}",7068.44,-29.3156,-0.2504,28,35.71,0.4063,36.61,-1.4983,117.1
BTCResidualMR,ETHUSDC,0,"{'z_entry': 1.5, 'corr_window': 40, 'min_corr': 0.5}",7067.01,-29.3299,-0.2505,62,43.55,0.7399,35.37,-0.7825,117.1
BTCResidualMR,ETHUSDC,4,"{'z_entry': 2.5, 'corr_window': 90, 'min_corr': 0.7}",7057.71,-29.4229,-0.2513,36,41.67,0.6305,33.43,-0.7699,117.1
TSMOM,DOGEUSDC,2,"{'lookback': 12, 'z_threshold': 0.75, 'vol_min_ann': 0.3}",7049.26,-29.5074,-0.252,49,32.65,0.7083,38.17,-0.701,117.1
BTCResidualMR,BNBUSDC,0,"{'z_entry': 1.5, 'corr_window': 40, 'min_corr': 0.5}",7037.33,-29.6267,-0.2531,50,38.0,0.6311,35.71,-1.1734,117.1
BTCResidualMR,AVAXUSDC,1,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.6}",6964.35,-30.3565,-0.2593,68,45.59,0.7978,36.0,-0.6324,117.1
WeekendGapFade,SOLUSDC,1,"{'gap_atr_mult': 1.5, 'sl_atr_mult': 1.5}",6961.52,-30.3848,-0.2595,22,31.82,0.3308,35.16,-1.391,117.1
BTCResidualMR,ETHUSDC,3,"{'z_entry': 2.5, 'corr_window': 90, 'min_corr': 0.6}",6953.46,-30.4654,-0.2602,41,41.46,0.6555,35.02,-0.7677,117.1
TSMOM,DOGEUSDC,4,"{'lookback': 24, 'z_threshold': 0.75, 'vol_min_ann': 0.2}",6933.44,-30.6656,-0.2619,52,26.92,0.6789,35.83,-0.811,117.1
BTCResidualMR,NEARUSDC,4,"{'z_entry': 2.5, 'corr_window': 90, 'min_corr': 0.7}",6873.94,-31.2606,-0.267,20,30.0,0.4657,34.88,-1.1794,117.1
BTCResidualMR,DOGEUSDC,1,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.6}",6860.73,-31.3927,-0.2682,78,46.15,0.7974,36.41,-0.577,117.1
BTCResidualMR,DOGEUSDC,2,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.7}",6802.15,-31.9785,-0.2732,71,45.07,0.7733,37.72,-0.6447,117.1
VolBreakoutMom,ADAUSDC,0,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 2.0, 'sl_atr_mult': 1.0}",6766.74,-32.3326,-0.2762,32,18.75,0.3945,37.17,-1.6676,117.1
BTCResidualMR,AVAXUSDC,0,"{'z_entry': 1.5, 'corr_window': 40, 'min_corr': 0.5}",6732.02,-32.6798,-0.2791,36,41.67,0.6144,35.38,-0.8305,117.1
MeanRevLowVol,DOGEUSDC,2,"{'ma_period': 30, 'z_entry': 2.0, 'vol_max_pctile': 40}",6699.35,-33.0065,-0.2819,27,40.74,0.4794,37.55,-0.8847,117.1
MeanRevLowVol,ADAUSDC,2,"{'ma_period': 30, 'z_entry': 2.0, 'vol_max_pctile': 40}",6665.48,-33.3452,-0.2848,28,39.29,0.5009,36.68,-0.9389,117.1
MeanRevLowVol,SOLUSDC,0,"{'ma_period': 20, 'z_entry': 1.5, 'vol_max_pctile': 30}",6658.56,-33.4144,-0.2854,37,45.95,0.5805,35.33,-0.8333,117.1
TSMOM,ADAUSDC,0,"{'lookback': 6, 'z_threshold': 0.5, 'vol_min_ann': 0.2}",6585.28,-34.1472,-0.2917,57,28.07,0.6183,37.63,-1.217,117.1
MeanRevLowVol,DOGEUSDC,3,"{'ma_period': 30, 'z_entry': 2.5, 'vol_max_pctile': 50}",6564.82,-34.3518,-0.2934,18,33.33,0.3161,35.52,-1.054,117.1
MeanRevLowVol,NEARUSDC,1,"{'ma_period': 20, 'z_entry': 2.0, 'vol_max_pctile': 40}",6544.05,-34.5595,-0.2952,21,33.33,0.4216,38.54,-1.2156,117.1
BTCResidualMR,AVAXUSDC,2,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.7}",6542.86,-34.5714,-0.2953,44,40.91,0.6559,38.42,-0.9989,117.1
MeanRevLowVol,BTCUSDC,1,"{'ma_period': 20, 'z_entry': 2.0, 'vol_max_pctile': 40}",6530.48,-34.6952,-0.2964,40,32.5,0.393,35.81,-1.8472,117.1
MeanRevLowVol,ADAUSDC,1,"{'ma_period': 20, 'z_entry': 2.0, 'vol_max_pctile': 40}",6488.53,-35.1147,-0.2999,28,35.71,0.4607,36.62,-1.1541,117.1
BTCResidualMR,DOGEUSDC,3,"{'z_entry': 2.5, 'corr_window': 90, 'min_corr': 0.6}",6470.75,-35.2925,-0.3015,34,35.29,0.518,39.78,-1.1761,117.1
MeanRevLowVol,AVAXUSDC,2,"{'ma_period': 30, 'z_entry': 2.0, 'vol_max_pctile': 40}",6463.0,-35.37,-0.3021,16,25.0,0.2036,35.37,-1.499,117.1
MeanRevLowVol,SOLUSDC,1,"{'ma_period': 20, 'z_entry': 2.0, 'vol_max_pctile': 40}",6462.77,-35.3723,-0.3021,30,36.67,0.4536,35.37,-1.0213,117.1
MeanRevLowVol,AVAXUSDC,1,"{'ma_period': 20, 'z_entry': 2.0, 'vol_max_pctile': 40}",6442.93,-35.5707,-0.3038,37,45.95,0.6013,38.43,-0.9432,117.1
MeanRevLowVol,AVAXUSDC,0,"{'ma_period': 20, 'z_entry': 1.5, 'vol_max_pctile': 30}",6416.71,-35.8329,-0.3061,28,39.29,0.4386,37.58,-1.0293,117.1
BTCResidualMR,NEARUSDC,1,"{'z_entry': 2.0, 'corr_window': 60, 'min_corr': 0.6}",6414.27,-35.8573,-0.3063,36,38.89,0.6011,38.13,-1.2235,117.1
MeanRevLowVol,DOGEUSDC,4,"{'ma_period': 50, 'z_entry': 2.0, 'vol_max_pctile': 40}",6399.06,-36.0094,-0.3076,19,31.58,0.3134,38.3,-1.4386,117.1
BTCResidualMR,NEARUSDC,0,"{'z_entry': 1.5, 'corr_window': 40, 'min_corr': 0.5}",6392.85,-36.0715,-0.3081,32,37.5,0.5825,39.07,-0.9544,117.1
MeanRevLowVol,SOLUSDC,3,"{'ma_period': 30, 'z_entry': 2.5, 'vol_max_pctile': 50}",6373.72,-36.2628,-0.3097,17,29.41,0.2804,37.53,-1.5444,117.1
MeanRevLowVol,ADAUSDC,3,"{'ma_period': 30, 'z_entry': 2.5, 'vol_max_pctile': 50}",6369.04,-36.3096,-0.3101,14,14.29,0.1535,36.57,-1.4095,117.1
MeanRevLowVol,NEARUSDC,3,"{'ma_period': 30, 'z_entry': 2.5, 'vol_max_pctile': 50}",6363.26,-36.3674,-0.3106,17,23.53,0.2659,36.86,-1.5737,117.1
MeanRevLowVol,NEARUSDC,2,"{'ma_period': 30, 'z_entry': 2.0, 'vol_max_pctile': 40}",6358.88,-36.4112,-0.311,20,30.0,0.3645,37.1,-1.2846,117.1
BTCResidualMR,NEARUSDC,3,"{'z_entry': 2.5, 'corr_window': 90, 'min_corr': 0.6}",6287.02,-37.1298,-0.3172,28,32.14,0.4929,37.13,-1.268,117.1
MeanRevLowVol,ADAUSDC,0,"{'ma_period': 20, 'z_entry': 1.5, 'vol_max_pctile': 30}",6204.97,-37.9503,-0.3242,63,49.21,0.6736,38.3,-0.9953,117.1
