strategy,symbol,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
TSMOM,AVAXUSDC,"{'lookback': 10, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",16642.95,66.4295,0.5674,160,43.75,1.1318,25.33,0.7809,117.1
TSMOM,ADAUSDC,"{'lookback': 11, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",16472.49,64.7249,0.5529,162,43.21,1.1507,31.02,0.7083,117.1
TSMOM,ADAUSDC,"{'lookback': 11, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",16395.52,63.9552,0.5463,162,43.21,1.1486,31.02,0.7036,117.1
TSMOM,XRPUSDC,"{'lookback': 14, 'z_threshold': 0.7, 'vol_min_ann': 0.25}",16334.38,63.3438,0.5411,196,42.35,1.1031,36.56,0.6886,117.1
TSMOM,ADAUSDC,"{'lookback': 11, 'z_threshold': 0.9, 'vol_min_ann': 0.3}",16312.14,63.1214,0.5392,173,42.2,1.1357,34.72,0.6894,117.1
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 0.8, 'vol_min_ann': 0.25}",16224.31,62.2431,0.5317,169,44.97,1.1063,36.57,0.6976,117.1
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 0.8, 'vol_min_ann': 0.3}",16224.31,62.2431,0.5317,169,44.97,1.1063,36.57,0.6976,117.1
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 0.8, 'vol_min_ann': 0.35}",16221.15,62.2115,0.5314,169,44.97,1.1062,36.57,0.6974,117.1
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",16178.37,61.7837,0.5277,147,43.54,1.1266,36.84,0.6887,117.1
TSMOM,ADAUSDC,"{'lookback': 11, 'z_threshold': 0.9, 'vol_min_ann': 0.25}",15923.98,59.2398,0.506,174,41.95,1.1296,34.72,0.6651,117.1
TSMOM,ADAUSDC,"{'lookback': 11, 'z_threshold': 1.0, 'vol_min_ann': 0.25}",15880.07,58.8007,0.5023,164,42.68,1.1404,32.85,0.6704,117.1
TSMOM,DOGEUSDC,"{'lookback': 10, 'z_threshold': 0.7, 'vol_min_ann': 0.35}",15698.7,56.987,0.4868,202,43.07,1.0993,37.82,0.6694,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 1.1, 'vol_min_ann': 0.25}",15697.78,56.9778,0.4867,165,44.85,1.1225,34.3,0.6952,117.1
TSMOM,DOGEUSDC,"{'lookback': 10, 'z_threshold': 0.7, 'vol_min_ann': 0.3}",15696.01,56.9601,0.4865,205,42.93,1.0974,37.82,0.6705,117.1
TSMOM,SOLUSDC,"{'lookback': 13, 'z_threshold': 1.0, 'vol_min_ann': 0.35}",15681.62,56.8162,0.4853,165,45.45,1.0981,36.42,0.6777,117.1
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 0.9, 'vol_min_ann': 0.3}",15674.46,56.7446,0.4847,161,43.48,1.1174,35.22,0.6623,117.1
TSMOM,SOLUSDC,"{'lookback': 13, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",15658.84,56.5884,0.4834,165,45.45,1.0977,36.51,0.6762,117.1
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 1.0, 'vol_min_ann': 0.3}",15500.66,55.0066,0.4699,148,42.57,1.1168,36.65,0.6446,117.1
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 0.9, 'vol_min_ann': 0.25}",15477.46,54.7746,0.4679,163,43.56,1.1138,35.22,0.6488,117.1
TSMOM,XRPUSDC,"{'lookback': 14, 'z_threshold': 0.8, 'vol_min_ann': 0.35}",15471.93,54.7193,0.4674,180,43.33,1.0941,36.94,0.651,117.1
TSMOM,DOGEUSDC,"{'lookback': 10, 'z_threshold': 0.7, 'vol_min_ann': 0.25}",15417.43,54.1743,0.4627,206,42.72,1.0938,37.82,0.6522,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 1.1, 'vol_min_ann': 0.3}",15369.29,53.6929,0.4586,165,44.85,1.1195,33.69,0.6725,117.1
TSMOM,ADAUSDC,"{'lookback': 10, 'z_threshold': 1.0, 'vol_min_ann': 0.25}",15340.78,53.4078,0.4562,150,42.67,1.1136,36.65,0.6338,117.1
TSMOM,XRPUSDC,"{'lookback': 13, 'z_threshold': 0.7, 'vol_min_ann': 0.35}",15043.62,50.4362,0.4308,199,42.21,1.0835,35.75,0.6328,117.1
TSMOM,XRPUSDC,"{'lookback': 11, 'z_threshold': 1.0, 'vol_min_ann': 0.25}",14652.58,46.5258,0.3974,175,42.29,1.1073,33.45,0.6131,117.1
TSMOM,XRPUSDC,"{'lookback': 14, 'z_threshold': 0.8, 'vol_min_ann': 0.3}",14607.33,46.0733,0.3935,189,42.33,1.0838,35.06,0.5946,117.1
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 0.9, 'vol_min_ann': 0.35}",14471.3,44.713,0.3819,99,47.47,1.1523,36.0,0.6112,117.1
TSMOM,SOLUSDC,"{'lookback': 14, 'z_threshold': 0.9, 'vol_min_ann': 0.3}",14471.3,44.713,0.3819,99,47.47,1.1523,36.0,0.6112,117.1
