strategy,symbol,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",24778.28,147.7828,1.2623,92,36.96,1.3774,23.32,1.0427,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",24521.25,145.2125,1.2404,141,26.24,1.2909,36.81,0.8466,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 18, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",24436.03,144.3603,1.2331,130,36.15,1.3032,23.89,1.027,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 12, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",24416.07,144.1607,1.2314,125,27.2,1.3446,36.84,0.8469,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 8, 'k_threshold': 1.5, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",24330.7,143.307,1.2241,124,34.68,1.2276,34.22,0.9725,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 15, 'k_threshold': 1.5, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",24302.57,143.0257,1.2217,111,33.33,1.378,26.23,1.2082,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",24081.16,140.8116,1.2028,142,31.69,1.2345,38.38,0.9025,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 8, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",24080.32,140.8032,1.2027,157,36.94,1.2141,36.72,0.9625,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 8, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",23884.85,138.8485,1.186,150,32.0,1.254,35.55,0.8915,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 18, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",23859.43,138.5943,1.1838,137,35.77,1.3139,33.15,0.9916,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",23750.92,137.5092,1.1746,152,34.87,1.2354,33.53,0.9806,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 15, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",23744.85,137.4485,1.1741,144,34.72,1.1953,34.67,0.9656,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",23725.68,137.2568,1.1724,116,35.34,1.3381,25.35,1.1652,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 18, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",23574.15,135.7415,1.1595,118,36.44,1.3082,29.97,0.9951,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.25, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",23499.56,134.9956,1.1531,144,34.72,1.1899,37.48,0.9755,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 18, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 0.8}",23474.07,134.7407,1.1509,73,31.51,1.7029,18.95,1.3254,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 18, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",23465.12,134.6512,1.1502,73,35.62,1.6034,22.72,1.3213,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",23352.97,133.5297,1.1406,115,38.26,1.3035,25.36,1.0641,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.0, 'tp_atr_mult': 3.5, 'sl_atr_mult': 0.8}",23313.87,133.1387,1.1372,168,26.19,1.2038,31.96,0.991,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",23163.34,131.6334,1.1244,92,33.7,1.389,20.1,1.025,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.25, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",23100.43,131.0043,1.119,160,36.25,1.1939,29.29,1.0922,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",23014.36,130.1436,1.1117,86,33.72,1.4423,16.2,1.0284,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 12, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 0.8}",22888.91,128.8891,1.1009,110,28.18,1.3644,36.6,0.7963,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 12, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",22880.55,128.8055,1.1002,133,35.34,1.276,30.72,0.9572,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 12, 'k_threshold': 1.25, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",22825.71,128.2571,1.0955,116,31.9,1.3041,36.91,0.8651,117.1
