side,entry_price,exit_price,qty,pnl,pnl_pct,entry_time,exit_time,exit_reason
BUY,2381.980395,2343.5119435714287,4.198187365853613,-161.4978,-1.615,2024-01-22 08:00:00,2024-01-22 16:00:00,stop_loss
BUY,2321.430135,2256.43122,4.238121184391629,-275.4733,-2.8,2024-01-23 04:00:00,2024-01-23 08:00:00,stop_loss
BUY,2211.855375,2310.02441,4.323532660721385,424.437,4.4383,2024-01-24 00:00:00,2024-01-29 16:00:00,take_profit
BUY,3521.17971,3318.382835714286,2.482753866789457,-503.4947,-5.7593,2024-03-18 20:00:00,2024-03-19 04:00:00,stop_loss
BUY,3333.96615,3123.843011428572,2.2736745891932753,-477.7516,-6.3025,2024-03-19 16:00:00,2024-03-20 04:00:00,stop_loss
BUY,3495.4068299999994,3633.8164685714282,2.576586948856418,356.6245,3.9598,2024-03-28 00:00:00,2024-03-31 12:00:00,take_profit
BUY,3331.354845,3464.1484878571428,2.810521401379162,373.2194,3.9862,2024-04-04 20:00:00,2024-04-08 04:00:00,take_profit
BUY,2954.83668,2875.6700171428574,3.294958238665753,-260.8508,-2.6792,2024-05-13 16:00:00,2024-05-14 12:00:00,stop_loss
BUY,2977.7181149999997,3055.7028128571433,3.182038140863091,248.1503,2.6189,2024-05-15 12:00:00,2024-05-17 08:00:00,take_profit
BUY,3812.035065,3719.793458571429,2.5507013266820673,-235.2808,-2.4197,2024-06-05 04:00:00,2024-06-07 16:00:00,stop_loss
BUY,3680.069115,3570.361069285714,2.5782347595288084,-282.8531,-2.9811,2024-06-07 20:00:00,2024-06-11 00:00:00,stop_loss
BUY,3495.1366949999997,3588.2535471428573,2.633725034580049,245.2442,2.6642,2024-06-11 16:00:00,2024-06-12 12:00:00,take_profit
BUY,3158.688555,3048.4650050000005,2.9918977553425825,-329.7776,-3.4895,2024-07-04 08:00:00,2024-07-05 00:00:00,stop_loss
BUY,2880.7896749999995,3033.7409421428574,2.898251430415619,443.2912,5.3094,2024-07-05 04:00:00,2024-07-06 16:00:00,take_profit
BUY,3537.7880099999998,3452.634247857143,2.703380419473066,-230.203,-2.407,2024-07-21 20:00:00,2024-07-22 12:00:00,stop_loss
BUY,3499.7389949999997,3408.5591535714284,2.666994262884772,-243.1761,-2.6053,2024-07-22 16:00:00,2024-07-23 16:00:00,stop_loss
BUY,3338.58846,3208.6805714285715,2.722889573301399,-353.7248,-3.8911,2024-07-24 20:00:00,2024-07-25 00:00:00,stop_loss
BUY,3123.44094,3263.561688571429,2.797198038903093,391.9455,4.4861,2024-07-25 16:00:00,2024-07-26 04:00:00,take_profit
